"","bill_num","bloc","absent","no","yes","abstain","betas_yes_mean","betas_yes_sd","betas_abst_mean","betas_abst_sd","betas_absent_mean","betas_absent_sd","sigmas_ord_mean","sigmas_ord_sd","sigmas_abs_mean","sigmas_abs_sd","bloc_l"
"1","Bill_1744","Bloc Al Horra",9,5,10,2,-0.136251580211939,0.0409951181319857,0.00562761149098309,0.0569364879120633,-2.47987275936927,0.747677601232327,-7.52819865388354,1.32831687397147,-2.04859388594386,0.504255731113764,"Ho"
"2","Bill_1749","Bloc Al Horra",23,0,3,0,-0.0137152377674317,0.0401278789944996,0.101889528913164,0.0508544031613832,-2.98230684274005,1.09289055752424,-9.16494727110531,1.39492561096876,-2.07503766314379,0.601914820705803,"Ho"
"3","Bill_1751","Bloc Al Horra",23,0,3,0,-0.0217396292739317,0.0405594872890211,0.0947542380456576,0.0514573557668794,-2.60207544616446,0.920923534551752,-9.07965357313793,1.33127776124503,-2.40921665825933,0.667171289250125,"Ho"
"4","Bill_2322","Bloc Al Horra",9,3,13,1,-0.0450118154994475,0.0526175172375777,0.136907200968831,0.0719194847076815,-2.60469112416428,0.920573215603967,-5.86005153068782,0.994320780763223,-1.76394210198233,0.478386309608116,"Ho"
"5","Bill_2536","Bloc Al Horra",6,0,5,15,-0.0296528515524519,0.0381254686588329,0.0797375562948675,0.0499026213532187,-8.02936873877384,66.3887052986824,-9.69126483598119,1.48554247912078,-1.31615909988389,0.661489530217751,"Ho"
"6","Bill_2538","Bloc Al Horra",6,0,5,15,-0.0445531776308449,0.0392381435553701,0.0951918333604648,0.0524952666799758,-4.7253698352358,20.1956577250377,-7.56647708166065,1.10038295059892,-1.48764050317364,0.648234765023406,"Ho"
"7","Bill_2543","Bloc Al Horra",6,0,5,15,-0.00245132722507586,0.0426849384685197,0.136852573007367,0.0547587697381866,-3.91139518537499,3.64603319121069,-7.57071143756832,1.03810143597317,-1.77451599607257,0.659645680554217,"Ho"
"8","Bill_2544","Bloc Al Horra",4,0,6,16,-0.00837577847907971,0.0434993539409982,0.137597282496533,0.0574919591866836,-3.46963124966547,28.1866794672188,-7.2287423669016,0.983062895749252,-1.54686040356231,0.639907596007484,"Ho"
"9","Bill_2548","Bloc Al Horra",3,1,5,17,-0.00725795934709192,0.0431260433979464,0.143708049303249,0.0572959500228837,-4.06920985768835,5.13341394640469,-6.9958380718292,0.98344724272363,-1.74853160521978,0.674694569796643,"Ho"
"10","Bill_2650","Bloc Al Horra",12,2,12,0,-0.186345479481066,0.0514448329475548,-0.410369173530732,0.0579327918370499,-5.17137935202993,30.1697998480163,4.89375822053082,1.13428110634602,-1.23394777913981,0.459560888992061,"Ho"
"11","Bill_2780","Bloc Al Horra",13,3,9,1,-0.0662463671596477,0.0574709875491937,0.109627067550715,0.0812550202224124,-4.11929265230276,168.926873299713,-6.10819478949183,1.1719181419424,-0.519710101012499,0.486546667432705,"Ho"
"12","Bill_3163","Bloc Al Horra",17,1,7,1,-0.178996965773412,0.0481382764560152,-0.342231588014473,0.0384143472541153,-5.14807656266742,23.9041616914329,6.59963352248244,1.30245657871094,-1.22049289900952,0.475992786387668,"Ho"
"13","Bill_3203","Bloc Al Horra",1,18,7,0,-0.186605231753385,0.039829347014116,-0.0493947758903656,0.0573171801049739,-3.20612516546299,1.24796587723555,-7.85481786751455,1.56418181332085,-1.48240399847136,0.450912421734265,"Ho"
"14","Bill_3210","Bloc Al Horra",17,3,6,0,-0.15355657016056,0.0447987922619368,-0.286743429167387,0.0341757639052191,-1.82927422910744,0.35353829071479,8.09163934982374,1.58845675154409,-2.59294863762759,0.51513365406501,"Ho"
"15","Bill_3493","Bloc Al Horra",15,3,8,0,-0.00831495797614942,0.0699517274204477,-0.250483183492035,0.0512077903988423,-1.79580391629798,0.379024219613934,4.4321530891772,0.839164343970128,-2.57962638892411,0.527546749238802,"Ho"
"16","Bill_3517","Bloc Al Horra",16,2,8,0,-0.17908138016526,0.0590169083353934,-0.406563271632007,0.0625713950253406,-3.02965596659653,5.67952804000359,4.87875402816946,1.25181222251562,-1.44320292363813,0.478908887113826,"Ho"
"17","Bill_3518","Bloc Al Horra",16,1,9,0,-0.191900832298163,0.0415358841639891,-0.323971873866189,0.0348845388742371,-2.30343999236683,1.44729571009896,8.18508814502928,1.66429613472355,-1.78567555728046,0.489886645886537,"Ho"
"18","Bill_3525","Bloc Al Horra",18,2,6,0,-0.192782654139577,0.0421265338632904,-0.329486666941013,0.0344959522431835,-3.64969663397721,25.5718329758913,7.93143322951552,1.66669641948442,-1.03355388757035,0.482855706641189,"Ho"
"19","Bill_3530","Bloc Al Horra",1,22,3,0,-0.12847546984508,0.0515016982180165,0.0912266623928432,0.0795256944674174,-3.45757647360491,13.8598019767025,-4.89471202196707,0.936370592265541,-1.44008130459259,0.491006987811715,"Ho"
"20","Bill_3567","Bloc Al Horra",9,1,16,0,-0.0317200379313595,0.0632602837752671,-0.175384646779132,0.0486607609126211,-1.45781310728725,0.287209198999914,7.50500271218187,1.54029873799364,-2.46977624938463,0.473299155734027,"Ho"
"21","Bill_3577","Bloc Al Horra",11,0,15,0,-0.0327140063821103,0.0668280550241167,-0.19602268205192,0.0490478485070261,-1.74821288615227,0.451630395627729,6.61576086811027,1.36871113540046,-2.11643379464602,0.470698897312123,"Ho"
"22","Bill_3597","Bloc Al Horra",10,2,14,0,-0.0252731513408654,0.0635616114267722,-0.185797602948396,0.0437408976784782,-4.40242827743469,33.1244370114872,6.7311326044016,1.38110454815464,-1.39081229838455,0.451764483586727,"Ho"
