period,bloc,n_votes,n_against,pct_against
P1_2015-02..2018-09,Union Patriotique Libre,4138,284,6.9
P1_2015-02..2018-09,Afek Tounes,2918,283,9.7
P1_2015-02..2018-09,Nidaa Tounes,4165,87,2.1
P1_2015-02..2018-09,Nahda,4160,26,0.6
P2_2018-10..2019-08,Horra,805,49,6.1
P2_2018-10..2019-08,Tahya Tounes,806,36,4.5
P2_2018-10..2019-08,Nahda,806,5,0.6
