"","errors","Facebook","legis.names","Party","Business","Notes"
"51","data.frame","MyriamBoujbel","Meriem Boujbel","Bloc Al Horra",0,""
"52","try-error","wjalled","Walid Jalled","Bloc Al Horra",0,""
"53","data.frame","yasmine.meriem.nasfi","Hassouna Nasfi","Bloc Al Horra",0,""
"54","try-error","","Bochra Belhaj Hamida","Bloc Al Horra",0,""
"55","try-error","","Mustapha Ben Ahmed","Bloc Al Horra",0,""
"56","try-error","sahbi.benfredj","Sahbi Ben Fraj","Bloc Al Horra",0,""
"57","try-error","leila.zahaftlili","Leila Zahaf","Bloc Al Horra",0,""
"58","data.frame","fatma.mseddi.7","Fatma Mseddi","Bloc Al Horra",0,""
"59","data.frame","KhawlaBenAichaPageOfficielle","Khawla Ben Aicha","Bloc Al Horra",0,""
"60","data.frame","LeylaHamrouniOfficiel","Leila Hamrouni","Bloc Al Horra",0,""
"61","try-error","","Abderraouf Cherif","Bloc Al Horra",0,""
"62","try-error","","Heger Laaroussi","Bloc Al Horra",0,""
"63","data.frame","","Mohamed Troudi","Bloc Al Horra",0,""
"64","data.frame","brahim.nacef","Brahim Nacef","Bloc Al Horra",0,""
"65","try-error","abada.kefi","Abada Kefi","Bloc Al Horra",0,""
"66","data.frame","relmay","Abderraouf El May","Bloc Al Horra",0,""
"67","data.frame","BenGharbia.Mehdi","Mehdi Ben Gharbia","Bloc Social-Démocrate",1,""
"68","try-error","faycal.tebini","Faycel Tebini","Bloc Social-Démocrate",0,""
"69","try-error","","Rim Thairi","Bloc Social-Démocrate",0,""
"70","data.frame","elhamdi.Page.Officielle","Mohamed El Hamdi","Bloc Social-Démocrate",0,""
"71","data.frame","135606376534417","Iyad Dahmani","Bloc Social-Démocrate",0,""
"72","try-error","","Ahmed Saidi","Bloc Social-Démocrate",0,""
"73","data.frame","lotfi.ali.5439","Lotfi Ali","Bloc Social-Démocrate",1,""
"74","try-error","","Naceur Channoufi","Bloc Social-Démocrate",0,""
"75","try-error","","Adnane Hajji","Bloc Social-Démocrate",0,""
"76","try-error","","Hmed Khaskhoussi","Bloc Social-Démocrate",0,""
"77","try-error","","Mbarka Aouania ","Front Populaire",0,""
"78","try-error","","Ahmed Seddik","Front Populaire",0,""
"79","data.frame","fatcham1","Fathi Chamkhi","Front Populaire",0,""
"80","try-error","","Abdelmoumen Belanes","Front Populaire",0,""
"81","try-error","","Haykel Belgacem","Front Populaire",0,""
"82","try-error","","Mourad Hamaidi","Front Populaire",0,""
"83","data.frame","549508231813069","Nizar Amami","Front Populaire",0,""
"84","data.frame","tarek.barrak","Tarek Barrak","Front Populaire",0,""
"85","try-error","107611849427630","Mongi Rahoui","Front Populaire",0,""
"86","data.frame","653749411394996","Ammar Amroussia","Front Populaire",0,""
"87","data.frame","zied.lakhdhar.1","Zied Lakhdhar","Front Populaire",0,""
"88","try-error","chafik.ayadi.37","Chafik Ayadi","Front Populaire",0,""
"89","try-error","","Aymen Aloui","Front Populaire",0,""
"90","try-error","souad.cheff","Souad Bayouli","Front Populaire",0,""
"91","data.frame","Jilani.Hammami.PT","Jilani Hammami","Front Populaire",0,""
"92","try-error","","Hssine Yahyaoui","Mouvement Ennahdha",0,""
