"","bill_means","id"
"127",5.17770252219619,"Amendment_1566"
"128",5.33797117122375,"Amendment_52"
"129",5.34795052078858,"Amendment_640"
"130",5.41245526052104,"Amendment_926"
"131",5.41846075651303,"Amendment_1261"
"132",5.44306973327024,"Amendment_1244"
"133",5.4794967187516,"Amendment_10"
"134",5.5162727054479,"Amendment_1137"
"135",5.51752677436413,"Amendment_262"
"136",5.54114319839679,"Amendment_615"
"137",5.55708059819639,"Amendment_1019"
"138",5.58334262725451,"Amendment_922"
"139",5.5844943296002,"Amendment_53"
"140",5.59428619338677,"Amendment_650"
"141",5.62418078415832,"Amendment_564"
"142",5.62646287187575,"Amendment_559"
"143",5.66292215531062,"Amendment_993"
"144",5.73023318457766,"Amendment_514"
"145",5.78011093186373,"Amendment_1627"
"146",5.79529277134269,"Amendment_637"
"147",5.80011945105291,"Amendment_1560"
"148",5.81789384873156,"Amendment_141"
"149",5.86974826249299,"Amendment_476"
"150",5.88638133656673,"Projet.de.loi.N.73.2015.portant.approbation.de.l.accord.de.prêt.conclu.le.19.Novembre.2015.entre.la.République.Tunisienne.et.la.Banque.Africaine.de.Développement.pour.la.contribution.au.financement.du.projet.de.modernisation.de.l.infrastructure.routière"
"151",5.93224556546052,"Amendment_935"
"152",5.9921028612024,"Amendment_672"
"153",5.99994649555761,"Amendment_696"
"154",6.05984785971944,"Amendment_865"
"155",6.08781440480962,"Amendment_896"
"156",6.12123985971944,"Amendment_1319"
"157",6.13352703774148,"Amendment_1227"
"158",6.18411395791583,"Amendment_274"
"159",6.19097619138277,"Amendment_95"
"160",6.23272230160321,"Amendment_1016"
"161",6.25195639178357,"Amendment_588"
"162",6.3041978578497,"Amendment_620"
"163",6.31471855911824,"Amendment_1256"
"164",6.35762736072144,"Amendment_2"
"165",6.36709772687776,"Amendment_259"
"166",6.42219673271202,"Amendment_139"
"167",6.42852568590581,"Amendment_578"
"168",6.48876164328657,"Amendment_1076"
"169",6.54579419138277,"Amendment_636"
"170",6.55522714535371,"Amendment_1267"
"171",6.55937706012024,"Vote.de.confiance.au.gouvernement.de.Habib.Essid"
"172",6.58749313326653,"Amendment_1027"
"173",6.6119622755511,"Amendment_416"
"174",6.65892777376954,"Amendment_748"
"175",6.66165858847695,"Projet.de.loi.N.67.2015.relatif.à.l.approbation.de.la.soumission.de.l.emprunt.obligataire.émis.par.la.Banque.Centrale.Tunisienne.au.marché.financier.international..Objet.des.accords.conclus.entre.la.Banque.Centrale.Tunisienne.avec.un.groupe.d.établissements.financiers"
"176",6.67411898541383,"Amendment_1176"
"177",6.73371670194969,"Amendment_799"
"178",6.73506288686693,"Amendment_407"
"179",6.74319483032766,"Amendment_919"
"180",6.75965288877756,"Amendment_940"
"181",6.78267092751904,"Amendment_1078"
"182",6.79933458691754,"Amendment_1251"
"183",6.98609615230461,"Amendment_38"
"184",6.99931414991693,"Amendment_801"
"185",7.00806051603206,"Amendment_997"
"186",7.01619172846894,"Amendment_1120"
"187",7.06008365276604,"Projet.de.loi.N.44.2014.portant.approbation.de.la.convention.de.prêt.conclue.le.8.avril.2014.entre.le.gouvernement.de.la.République.Tunisienne.et.le.Fonds.Koweïtien.de.Développement.Economique.Arabe.en.vue.d.amender.la.convention.de.prêt.conclue.le.7.Mai.2013.entre.le.gouvernement.de.la.République.Tunisienne.et.le.Fonds.précité.pour.la.contribution.au.financement.du.projet..Développement.du.Réseau.de.Transport.et.de.Distribution.du.Gaz.Naturel.."
"188",7.09153099298597,"Amendment_444"
"189",7.10689893987976,"Amendment_681"
"190",7.12491010721443,"Amendment_667"
"191",7.19844275374649,"Amendment_1077"
"192",7.26179215087405,"Amendment_912"
"193",7.32758935243788,"Amendment_1250"
"194",7.36823822216533,"Amendment_1184"
"195",7.39416743448898,"Amendment_51"
"196",7.40943812687936,"Amendment_645"
"197",7.48480452085872,"Amendment_1626"
"198",7.55186342063026,"Amendment_1212"
"199",7.6310271878978,"Amendment_1088"
