item_id,legislature,law_date,n_dates_resolved,discrimination,abs_discrimination,discrimination_median,ci_width,rhat,is_anchor,bill_title
Vote sur un amendement n°256 de l'article 146,ANC,2014-01-10,1,-0.33536219540925,0.33536219540925,-0.33463295000000004,0.4324551064999999,1.0029708675762925,FALSE,Vote sur un amendement n°256 de l'article 146
Vote sur un amendement n°28 de l'article 4,ANC,2014-01-10,1,0.41467049491,0.41467049491,0.409571845,0.35078389150000006,1.0009831994070137,FALSE,Vote sur un amendement n°28 de l'article 4
Vote sur un amendement n°30 de l'article 127,ANC,2014-01-10,1,-0.745135262295,0.745135262295,-0.7544652249999999,0.40596954649999994,1.0021614363524838,FALSE,Vote sur un amendement n°30 de l'article 127
Vote sur un amendement n°31 de l'article 51,ANC,2014-01-10,1,0.05531752119339,0.05531752119339,0.0536656375,0.37834092299999994,1.0033181646728164,FALSE,Vote sur un amendement n°31 de l'article 51
Vote sur un amendement n°32 de l'article 109,ANC,2014-01-10,1,-0.59950014896,0.59950014896,-0.59910521,0.4193281925,1.0004326711810132,FALSE,Vote sur un amendement n°32 de l'article 109
Vote sur un amendement n°33 de l'article 49,ANC,2014-01-10,1,-0.70908327879,0.70908327879,-0.7108145699999999,0.38255882900000004,1.0026191200803418,FALSE,Vote sur un amendement n°33 de l'article 49
Vote sur un amendement n°34 de l'article 100,ANC,2014-01-10,1,-0.86559519066,0.86559519066,-0.878094065,0.25406781300000003,0.9998244808444408,FALSE,Vote sur un amendement n°34 de l'article 100
Vote sur un amendement n°35 de l'article 35,ANC,2014-01-10,1,-0.43555085823,0.43555085823,-0.432963465,0.32614932750000003,1.0042813854860662,FALSE,Vote sur un amendement n°35 de l'article 35
Vote sur un amendement n°36 de l'article 47,ANC,2014-01-10,1,0.223815601049785,0.223815601049785,0.22366445000000001,0.3072022487,1.0011255775710837,FALSE,Vote sur un amendement n°36 de l'article 47
Vote sur un amendement n°4 de l'article 37,ANC,2014-01-10,1,0.25713940815617,0.25713940815617,0.25461317,0.310579388,1.0022330704997922,FALSE,Vote sur un amendement n°4 de l'article 37
Vote sur un amendement n°42 de l'article premier,ANC,2014-01-10,1,-0.06416780088625,0.06416780088625,-0.06311085150000001,0.292684516,1.0009141197351354,FALSE,Vote sur un amendement n°42 de l'article premier
Vote sur un amendement n°43 de l'article 44,ANC,2014-01-10,1,0.316556708256,0.316556708256,0.31552123,0.34575732549999993,1.0021465593041168,FALSE,Vote sur un amendement n°43 de l'article 44
Vote sur un amendement N°46 de l'article 41,ANC,2014-01-10,1,-0.094090065829195,0.094090065829195,-0.093284461,0.29567305174999997,1.0031948462183564,FALSE,Vote sur un amendement N°46 de l'article 41
Vote sur un amendement n°47 de l'article 122,ANC,2014-01-10,1,-0.712716856055,0.712716856055,-0.716345495,0.36785423500000003,1.0004769478859865,FALSE,Vote sur un amendement n°47 de l'article 122
Vote sur un amendement n°48 de l'article 111,ANC,2014-01-10,1,-0.76472901581,0.76472901581,-0.77003347,0.3443478325000001,1.0018589948510326,FALSE,Vote sur un amendement n°48 de l'article 111
Vote sur un amendement n°49 de l'article 69,ANC,2014-01-10,1,0.043019782086392,0.043019782086392,0.045163773500000004,0.36507590449999994,0.9994089720648764,FALSE,Vote sur un amendement n°49 de l'article 69
Vote sur un amendement n°5 de l'article premier,ANC,2014-01-10,1,-0.1272037114525215,0.1272037114525215,-0.128421715,0.32145998225,1.0024015169285452,FALSE,Vote sur un amendement n°5 de l'article premier
Vote sur un amendement n°51 de l'article 109,ANC,2014-01-10,1,0.608271907835,0.608271907835,0.604973945,0.40218450249999993,1.000110535347974,FALSE,Vote sur un amendement n°51 de l'article 109
Vote sur un amendement n°69 de l'article 138,ANC,2014-01-10,1,-0.10385598100142,0.10385598100142,-0.09994855350000001,0.626562315,1.0013793217367035,FALSE,Vote sur un amendement n°69 de l'article 138
Vote sur un amendement n°73 de l'article 44,ANC,2014-01-10,1,-0.132692112989365,0.132692112989365,-0.12947057,0.36397198589999996,1.0018164002253707,FALSE,Vote sur un amendement n°73 de l'article 44
Vote sur un amendement n°75 de l'article 123,ANC,2014-01-10,1,0.4134488806785,0.4134488806785,0.41299819,0.3371435159999999,1.0071993825143044,FALSE,Vote sur un amendement n°75 de l'article 123
